COMMODITY_DESC,encarecido,normal,rebajado,efecto_rebaja_pct,n_total,n_rebajado
EYE AND EAR CARE PRODUCTS,1.0,1.047713717693837,1.0217391304347827,-2.4791683854467284,1213,92
ORGANICS FRUIT & VEGETABLES,1.093441671503192,1.1174698795180722,1.0897435897435896,-2.4811666321100323,6427,1716
HOT DOGS,1.2884615384615385,1.5557294383585463,1.5064102564102564,-3.170164472835757,11710,156
COFFEE,1.0752380952380953,1.1197431491362937,1.0837060702875398,-3.2183343900385353,13672,1565
MEAT - MISC,1.1605206073752712,1.2065425023877745,1.1634782608695653,-3.569227062700575,9412,575
SMOKED MEATS,1.0968443960826986,1.1354748603351956,1.0927936821322803,-3.758883590810247,4080,1013
VITAMINS,1.2873563218390804,1.258093935248518,1.2077922077922079,-3.9982489420691714,2357,77
FLUID MILK PRODUCTS,1.455240922585065,1.3428461980463513,1.286906229259505,-4.165776309173075,85494,10547
CEREAL/BREAKFAST,1.0861538461538462,1.1024355300859598,1.0564971751412429,-4.166987881924944,1898,177
CHEESES,1.0406340057636887,1.0612550867423431,1.0162303664921466,-4.242591702283905,13869,5730
ANTACIDS,1.0789473684210527,1.185209003215434,1.1341463414634145,-4.308325503222488,1871,164
CANNED MILK,1.5798319327731092,1.6793002915451896,1.6055045871559632,-4.3944317023445585,1943,109
OLIVES,1.1200631911532386,1.2163742690058479,1.1629116117850953,-4.39524730035995,2920,577
TOMATOES,1.0449203942380592,1.1011709601873536,1.0418960976777591,-5.3828937242868635,15765,8354
FRUIT - SHELF STABLE,1.5445942748994559,1.4380605176813708,1.359541130386122,-5.460089219461217,21516,3574
VALUE ADDED FRUIT,1.054054054054054,1.1411925976696367,1.0755116443189838,-5.755466122438591,6809,2834
HERBS,1.0055096418732783,1.0869314910765688,1.0235294117647058,-5.83312562313062,3653,1190
MELONS,1.1246426529445397,1.2091152815013404,1.1369089625970359,-5.97183080960213,4658,1417
BAG SNACKS,1.129329094863644,1.2230589212244745,1.1492092299714805,-6.038113942953693,66677,7714
BREAD,1.0649819494584838,1.1834399606299213,1.108187134502924,-6.358820779293428,8747,342
FRZN POTATOES,1.180094786729858,1.180358111774281,1.103225806451613,-6.534652878076541,9581,155
DELI MEATS,1.0552053486150907,1.0913440626359288,1.01682769726248,-6.82794436004619,25189,12420
VEGETABLES - ALL OTHERS,1.2024200776815057,1.3446930815027716,1.251039260969977,-6.9646986231334695,20225,8660
BACON,1.2628205128205128,1.3954914337240758,1.28,-8.276040320496259,11446,200
APPLES,1.0541988003427591,1.3546571136131014,1.23703962297085,-8.682454730448018,14305,5729
VALUE ADDED VEGETABLES,1.1357615894039734,1.2309048178613395,1.1218637992831542,-8.858606855373342,2283,279
ROSES,1.08,1.1514285714285715,1.0459770114942528,-9.15832406377457,512,87
FRZN MEAT/MEAT DINNERS,1.3301804168856193,1.4430107044276386,1.3107255520504733,-9.167302222448548,55976,5706
BAKING MIXES,1.2949771689497718,1.3775630450153193,1.243516335466487,-9.730713235512322,17888,2969
SEAFOOD-FRESH,1.0498046875,1.262011531069827,1.135656502800249,-10.012192849178236,4192,1607
JUICE,1.1166666666666667,1.375796178343949,1.2276422764227641,-10.768593797049085,1125,123
BERRIES,1.2527412280701755,1.4125999673575975,1.2564589665653496,-11.053447855044517,10583,2632
YOGURT,1.6407766990291262,1.662113813276604,1.4661016949152543,-11.792942023322794,44664,826
INSECTICIDES,1.1333333333333333,1.2595238095238095,1.1088082901554404,-11.96607148104254,778,193
TURKEY,1.1586345381526104,1.3690112130479104,1.1987829614604462,-12.434394252219095,2953,493
ANALGESICS,1.0296610169491525,1.2028276237085374,1.0331491712707181,-14.106630833325017,4693,543
SALAD BAR,1.1130185979971388,1.2716593245227605,1.0908499566348655,-14.218381008274427,9469,4612
LAXATIVES,1.105263157894737,1.268421052631579,1.0853658536585367,-14.431737678372624,1469,82
PWDR/CRYSTL DRNK MX,2.0275482093663912,2.1623167959871465,1.8410689170182841,-14.856651882140405,14559,711
WATER - CARBONATED/FLVRD DRINK,1.2976704055220016,1.4455820402069002,1.187808896210873,-17.8317893295861,21126,1214
ROLLS,1.240343347639485,1.4989268292682927,1.226890756302521,-18.148722649695127,5477,119
BREAKFAST SWEETS,1.1321695760598505,1.7294132620593101,1.3297872340425532,-23.10760746340639,8728,470
ONIONS,1.0668491900524755,1.3687761749651,1.0245406338636083,-25.149147639881207,16790,8109
